"#experimentId"	"experimentName"	"experimentDescription"	"experimentSource"	"experimentStatus"	"comment"	"tags"	"numberOfAnnotatedLibraries"	"protocol"	"typeOfMethod"
"ERP013381"	"Mouse embryonic RNA-seq"	"The study was aimed at interrogating the early stages of blood cell development within the embryo. Blood develops from mesoderm, which is specified at gastrulation. We therefore sorted cells from mouse embryos between E6.5 and E7.75 to capture gastrulation and the emergence of mesoderm, followed by specificiation of the first mature blood cells."	"SRA"	"total"	"PRJEB11951, E-MTAB-4079"	"scRNA-seq"	"1205 libraries"	"Adapted_SMART_seq2"	"Full-length"
"SRP094958"	"Genomic profiling of human spermatogonial stem cells [scRNA-Seq]"	"To better understand human spermatogonial stem cells (SSCs), we profiled their transciptome and epigenome, which revealed the mechanism how human SSCs regulates their self-renewal versus differentiation dermination, as well as how latent pluripotency is established in human SSCs. Remarkly, we discovered signaling pathways (e.g. LIF, BMP, WNT) that differentially regulated self-renewal vesus differentiation in SSCs. We also discovered that SSCs repress core pluripotent factors (Sox2, Pou5f1 and Nanog) yet activate ancillary factors (e.g. Klf4, Mbd3, Tcf3, Sall4) transcriptionally and epigenetically. Overall design: Using SSEA4 as self-renewal marker and Kit as differentiating marker, we isolated self-renewal and differentiation SSCs by magnetic antibody cell sorting (MACS). SSEA4+ or Kit+ cells were loaded into 5-10 µm integrated fluidic circuits (IFCs) using Fluidigm C1 instrument. Single cells in IFCs were lysed and total RNA was harvested for polyadenylation selection, reverse transcription and PCR amplification. Library constructions were performed according to Fluidigm Library preparation with Nextera XT protocol and sequenced on a 50-cycle single end run."	"SRA"	"total"	"PRJNA357083, GSE92276"	"scRNA-seq"	"175 libraries"	"Fluidigm C1 instrument and Nextera XT protocol"	"Full-length"
"SRP057196"	"A survey of human brain transcriptome diversity at the single cell level"	"We used single cell RNA sequencing on 466 cells to capture the cellular complexity of the adult and fetal human brain at a whole transcriptome level. Healthy adult temporal lobe tissue was obtained from epileptic patients during temporal lobectomy for medically refractory seizures. We were able to classify individual cells into all of the major neuronal, glial, and vascular cell types in the brain. Overall design: Examination of cell types in healthy human brain samples."	"SRA"	"partial"	"GSE67835, PRJNA281204 (one library commented due to inconsistent information)"	"scRNA-seq"	"465 libraries"	"SMARTer Ultra Low"	"Full-length"
"SRP020490"	"Single-cell RNA-Seq reveals dynamic, random monoallelic gene expression in mammalian cells"	"In the diploid genome, genes come in two copies, which can have different DNA sequence and where one is maternal and one is paternal. In a particular cell, a gene could potentially be expressed from both copies (biallelic expression) or only one (monoallelic). We performed RNA-Sequencing on individual cells, from zygote to the cells of the late blastocyst, and also individual cells from the adult liver. Using first generation crosses between two distantly related mouse strains, CAST/Ei and C57BL/6, we determined the expression separately from the maternal and paternal alleles. We found that half of the genes were expressed by only one allele, randomly so that some cells would express the paternal allele, some the maternal and a few cell both alleles. We also observed the spread of the progressive inactivation of the paternal X chromosome. Overall design: First generation mouse strain crosses were used to study monoallelic expression on the single cell level"	"SRA"	"partial"	"GSE45719, PRJNA195938 (10 libraries in scRNASeqLibrary_not_included.tsv, because cell culture)"	"scRNA-seq"	"307 libraries"	"SMART_seq"	"Full-length"
"SRP075496"	"Single cell transcriptome analysis of human pancreas reveals transcriptional signatures of aging and somatic mutation patterns"	"As organisms age, cells accumulate genetic and epigenetic changes that eventually lead to impaired organ function or catastrophic failure such as cancer. Here we describe a single-cell transcriptome analysis of 2544 human pancreas cells from donors, spanning six decades of life. We find that islet cells from older donors have increased levels of disorder as measured both by noise in the transcriptome and by the number of cells which display inappropriate hormone expression, revealing a transcriptional instability associated with aging. By analyzing the spectrum of somatic mutations in single cells from previously-healthy donors, we find a specific age-dependent mutational signature characterized by C to A and C to G transversions, indicators of oxidative stress, which is absent in single cells from human brain tissue or in a tumor cell line. Cells carrying a high load of such mutations also express higher levels of stress and senescence markers, including FOS, JUN, and the cytoplasmic superoxide dismutase SOD1, markers previously linked to pancreatic diseases with substantial age-dependent risk, such as type 2 diabetes mellitus and adenocarcinoma. Thus, our single-cell approach unveils gene expression changes and somatic mutations acquired in aging human tissue, and identifies molecular pathways induced by these genetic changes that could influence human disease. Also, our results demonstrate the feasibility of using single-cell RNA-seq data from primary cells to derive meaningful insights into the genetic processes that operate on aging human tissue and to determine which molecular mechanisms are coordinated with these processes. Overall design: Examination of single cells from primary human pancreas tissue"	"SRA"	"total"	"GSE81547"	"scRNA-seq"	"2544 libraries"	"SMART_seq2"	"Full-length"
"SRP081477"	"Single Cell Transcriptome Conservation in Cryopreserved Cells and Tissues"	"Sample preservation method that maintains transcripts in viable single cells and so allows to disconnect time and place of sampling from subsequent processing steps. Overall design: Single cell transcriptomes from 1,486 fresh and conserved cells from human blood, ovarian and lung tumor xenografts, mouse colon tissue, and human, mouse and canine cell cultures."	"SRA"	"partial"	"GSE85534"	"scRNA-seq"	"341 libraries"	"MARS-Seq"	"3'end"
"SRP035326"	"Massively parallel single-cell RNA-Seq for dissecting cell type and cell state compositions"	"Overall design: CD11c+ enriched splenocyte mRNA profiles from single cells were generated by deep sequencing of thousands of single cells, sequenced in several batches in an Illumina Hiseq 2000 The ''umitab.txt'' processed data file contains the mRNA counts (post-filtering RMT counts) of a gene per each well (columns) The ''experimental_design.txt'' contains a detailed information regarding each well. The ''readme0421.txt'' was provided with details about each supplementary file."	"SRA"	"partial"	"GSE54006"	"scRNA-seq"	"20 libraries"	"MARS-Seq"	"3'end"
"SRP125768"	"A single-cell transcriptome atlas of the ageing Drosophila brain"	"Overall design: scRNA-seq (10x Genomics CHROMIUM Single Cell 3' Solution V2 Chemistry and Drop-seq) of adult brains from Drosophila melanogaster at various ages; SMART-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; Adapted SMART-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; CEL-seq2 on FAC-sorted R23E10-Gal4 positive neurons of adult brains from Drosophila melanogaster; Bulk RNA-seq of adult brains from Drosophila melanogaster; ATAC-seq of young (0 days) and old (50 days) adult brains from Drosophila melanogaster"	"SRA"	"partial"	"GSE107451; Some non scRNA-Seq librairies excluded, full-length librairies are R23E10-Gal4 x UAS-CD8::GFP and currently commented, CEL-Seq2 library commented because no link between barcodes and cell types was found) CAUTION, PMID:29909982 claims 'We applied CEL-Seq2 on 22 FAC-sorted cells and two variants of SMART-Seq2 on 45 (standard protocol) and 34 (adapted protocol) cells....All CEL-Seq2 libraries were sequenced on a NextSeq instrument (Illumina)....SMART-Seq2 libraries were sequenced on the HiSeq4000', and this is not reported the same in the SRA file : only one CEL-Seq2 is available, all SMART_seq2_R23E10_Cell are reported on NextSeq 500"	"scRNA-seq"	"111 scRNA-Seq libraries (34 libraries Adapted SMART-Seq and 45 libraries SMART-Seq and 31 libraries 10x Genomics CHROMIUM, and 1 CEL-seq2), 11 ATC-Seq, 6 bulk RNA-Seq"	"SMART_seq2, 10X Genomics, CEL-seq"	"Full-length and 3'end"
"SRP135999"	"The Human Testis Cell Atlas via Single-cell RNA-seq (Healthy men scRNA-seq data set)"	"Overall design: We isolated single testicular cell from three healthy men of peak reproductive age. Two technical replicates were performed for each individual."	"SRA"	"total"	"GSE112013"	"scRNA-seq"	"6 libraries"	"10X Genomics"	"3'end"
"#SRP162662"	"The Human Testis Cell Atlas via Single-cell RNA-seq (Infant scRNA-seq data set)"	"Overall design: We isolated single testicular cell from two infant (13 months old). Two technical replicates were performed for each individual."	"SRA"	"total"	"GSE120506 (so far commented because the barcode file is not available,see Slack, Sara's comments)"	"scRNA-seq"	"4 libraries"	"10X Genomics"	"3'end"
